keys,en,context
"消耗全部剑气强化攻击。（2点穿防，4点穿大防）",,"src/ui/battle_screen.gd:5248"
"清囊火盆",,"src/battle/item_catalog.gd:543"
"清除双方所有由攻击命中产生、尚未结算的英雄技能效果。",,"src/battle/item_catalog.gd:614"
"清除我方出战英雄的毒素；若没有毒素则清除脆弱。成功清除后，其回复1点生命。",,"src/battle/item_catalog.gd:259"
"温馨提示：不要让噬铁虫靠近您自己的护甲",,"src/battle/item_catalog.gd:639"
"游丝引",,"assets/data/heroes/h18.tres:12"
"游戏",,"src/ui/components/settings_panel.gd:10"
"灵感源自一位大海盗",,"src/battle/item_catalog.gd:685"
"点击取得道具（3选1·免费）",,"src/ui/battle_screen.gd:5285"
"点击头像可更换",,"src/ui/profile_screen.gd:270"
"点击抽取道具（3选1·免费）",,"src/ui/battle_screen.gd:5273"
"点击补充道具（3选1·消耗%s点能量）",,"src/ui/battle_screen.gd:5288"
"点将鼓",,"src/battle/item_catalog.gd:305"
"点燃敌方出战英雄，下回合结束前，若该英雄仍在场上则失去1.5点生命。",,"src/battle/item_catalog.gd:186"
"点石成金，可惜点不了第二次",,"src/battle/item_catalog.gd:698"
"点金石",,"src/battle/item_catalog.gd:491"
"点金石：选择传说道具（3 选 1）",,"src/ui/battle_screen.gd:5689"
"炼金坩埚",,"src/battle/item_catalog.gd:116"
"烛阴【龙】",,"assets/data/heroes/h17.tres:9"
"烛阴【龙】转变为敌方当前出战英雄。",,"assets/data/heroes/h17.tres:13"
"焚天火兆",,"assets/data/heroes/h22.tres:12"
"爆裂卷轴",,"src/battle/item_catalog.gd:364"
"牛金【牛】",,"assets/data/heroes/h02.tres:9"
"牛金【牛】成功防御时，我方下一次的「波」升级为「大波」。",,"assets/data/heroes/h02.tres:12"
"独占全屏",,"src/ui/components/settings_panel.gd:27"
"独用封",,"src/battle/item_catalog.gd:601"
"猎物印记",,"src/battle/item_catalog.gd:374"
"猎鹰羽毛",,"src/battle/item_catalog.gd:104"
"玄冥【鼠】",,"assets/data/heroes/h13.tres:9"
"玄冥【鼠】的「大波」可以改为连续两次「波」。",,"assets/data/heroes/h13.tres:13"
"玄金不动相",,"assets/data/heroes/h02.tres:11"
"玩家1",,"src/ui/battle_screen_base.tscn:495"
"玩家2",,"src/ui/battle_screen_base.tscn:645"
"瓶装能量",,"src/battle/item_catalog.gd:68"
"生命",,"src/ui/battle_screen.gd:4354"
"生命-%s",,"src/ui/battle_screen.gd:2372"
"生锈的暗器",,"src/battle/item_catalog.gd:142"
"生锈的飞镖",,"src/battle/item_catalog.gd:56"
"画面震动",,"src/ui/components/settings_panel.gd:279"
"白虹",,"assets/data/heroes/h16.tres:11"
"白额雷音",,"assets/data/heroes/h03.tres:11"
"百分之百自动好评！",,"src/battle/item_catalog.gd:675"
"盗版太极图",,"src/battle/item_catalog.gd:199"
"直到下回合结束，敌方的切换无效。",,"src/battle/item_catalog.gd:380"
"直到对局结束，每回合结束时，若我方道具栏有空位，随机补入1件普通道具。",,"src/battle/item_catalog.gd:528"
"直到本局结束，使用该道具的英雄免疫1次致命伤害。每名英雄限用1次。",,"src/battle/item_catalog.gd:315"
"相柳【蛇】",,"assets/data/heroes/h18.tres:9"
"相柳【蛇】出战时，双方「波」与「大波」的基础伤害均视为1点。",,"assets/data/heroes/h18.tres:13"
"盾狗",,"src/battle/item_catalog.gd:652"
"短柄铁钩",,"src/battle/item_catalog.gd:88"
"破旧的护甲",,"src/battle/item_catalog.gd:159"
"破甲",,"src/ui/battle_screen.gd:2369"
"破魔矢",,"src/battle/item_catalog.gd:281"
"破魔铃",,"src/battle/item_catalog.gd:129"
"确定",,"src/ui/components/pause_menu_overlay.gd:121"
"确定退出游戏？",,"src/ui/components/pause_menu_overlay.gd:113"
"神打",,"assets/data/heroes/h06.tres:11"
"祸兮福倚",,"assets/data/heroes/h12.tres:11"
"秘银充能护手",,"src/battle/item_catalog.gd:412"
"移甲环",,"src/battle/item_catalog.gd:326"
"移除我方出战英雄至多2点护甲；本回合内，我方下一次攻击的总伤害增加等量。",,"src/battle/item_catalog.gd:294"
"稀有",,"src/ui/item_gallery_screen.gd:15, src/ui/codex_screen.tscn:539"
"穷奇【虎】",,"assets/data/heroes/h15.tres:9"
"穷奇【虎】的「波」穿防，但无法使用「防」和「大防」。",,"assets/data/heroes/h15.tres:12"
"空格",,"src/ui/components/backpack_grid_view.gd:63, src/ui/components/backpack_grid_view.gd:64"
"空槽",,"src/ui/battle_screen.gd:5282, src/ui/battle_screen.gd:5286"
"空槽（补充需%s点能量）",,"src/ui/battle_screen.gd:5289"
"穿大防",,"src/ui/effect_text_formatter.gd:22"
"穿防",,"src/ui/effect_text_formatter.gd:21"
"窗口化",,"src/ui/components/settings_panel.gd:25, src/ui/components/settings_panel.gd:547"
"立即获得6点能量；下回合我方无法行动。",,"src/battle/item_catalog.gd:532"
"第%d回合自动解锁",,"src/ui/battle_screen.gd:5268"
"等待",,"src/ui/battle_screen.gd:2028"
"简易治愈法杖",,"src/battle/item_catalog.gd:92"
"算命铜钱",,"src/battle/item_catalog.gd:175"
"紫火【猴】",,"assets/data/heroes/h09.tres:9"
"紫火【猴】从来没用定身符偷吃桃子，从来没有，这是原则问题",,"src/battle/item_catalog.gd:680"
"紫火【猴】对敌方造成伤害时，移除敌方等量的能量。",,"assets/data/heroes/h09.tres:12"
"红淡了",,"src/ui/components/hero_frame.gd:17"
"纳盈葫芦",,"src/battle/item_catalog.gd:584"
"结束",,"src/ui/battle_screen.gd:671, src/ui/battle_screen_base.tscn:1032"
"结束双方所有已生效的道具效果。",,"src/battle/item_catalog.gd:516"
"结束回合",,"src/ui/battle_screen.gd:4607"
"统一文字节奏",,"src/ui/battle_screen.gd:4298"
"继续游戏",,"src/ui/components/pause_menu_overlay.gd:92"
"续命香",,"src/battle/item_catalog.gd:455"
"续命香：剩余%d回合回复生命",,"src/ui/battle_screen.gd:4757"
"续阵旗",,"src/battle/item_catalog.gd:246"
"缚影索",,"src/battle/item_catalog.gd:297"
"罪已昭",,"assets/data/heroes/h20.tres:12"
"翼火【蛇】",,"assets/data/heroes/h06.tres:9"
"翼火【蛇】命中敌方英雄时，使其获得1层毒素。",,"assets/data/heroes/h06.tres:12"
"老板，这生命药水发绿是正常的吗？",,"src/battle/item_catalog.gd:656"
"耗尽我方全部能量，每1点能量对敌方出战英雄造成0.5点伤害并穿大防。",,"src/battle/item_catalog.gd:438"
"聚宝盆",,"src/battle/item_catalog.gd:527"
"聚宝盆：每回合结束时为空槽补入普通道具",,"src/ui/battle_screen.gd:4746"
"聚鼎三花",,"src/battle/item_catalog.gd:443"
"聚鼎三花：剩余%d次攻击附效",,"src/ui/battle_screen.gd:4744"
"肯定能在古董市场卖个好价钱",,"src/battle/item_catalog.gd:648"
"背包",,"src/ui/main_menu.gd:199"
"胜利的秘诀是守赢",,"src/battle/item_catalog.gd:654"
"胜利！",,"src/ui/battle_screen.gd:2605, src/ui/components/battle_pve.gd:46"
"能量",,"src/ui/battle_screen.gd:4354"
"能量上限-%s",,"src/ui/battle_screen.gd:2387"
"能量归零",,"src/ui/battle_screen.gd:2383, src/ui/battle_screen.gd:2384"
"脆弱",,"src/ui/battle_screen.gd:2357, src/ui/battle_screen.gd:2578"
"臭鸡蛋",,"src/battle/item_catalog.gd:190"
"至臻剑意",,"src/battle/item_catalog.gd:425"
"至臻剑意：本回合第一次「大波」不消耗能量",,"src/ui/battle_screen.gd:4711"
"若我方仅剩1名英雄存活，则其所有攻击额外造成1点伤害，所有防御额外获得1点护甲，直到对局结束。",,"src/battle/item_catalog.gd:512"
"英雄",,"src/ui/battle_screen.gd:4355, src/ui/codex_screen.tscn:188"
"英雄图鉴",,"src/ui/hero_gallery_screen.tscn:321"
"荆棘护腕",,"src/battle/item_catalog.gd:108"
"获得1点能量",,"src/ui/battle_screen.gd:5211"
"获得2点能量。",,"src/battle/item_catalog.gd:84"
"藤蔓陷阱",,"src/battle/item_catalog.gd:254"
"虚日【鼠】",,"assets/data/heroes/h01.tres:9"
"虚日【鼠】再三强调，这可不是M9刺刀（★） | 外表生锈",,"src/battle/item_catalog.gd:633"
"虚日【鼠】在场时，获得的能量增加 0.5 点（回合被动能量除外）。",,"assets/data/heroes/h01.tres:12"
"虚日【鼠】推荐，性价比之选",,"src/battle/item_catalog.gd:637"
"蚩尤【牛】",,"assets/data/heroes/h14.tres:9"
"蛋神神了",,"src/battle/item_catalog.gd:677"
"蜘蛛大师的得意之作，不得意的都进去了",,"src/battle/item_catalog.gd:697"
"血渡结",,"src/battle/item_catalog.gd:250"
"血铸荼蘼",,"assets/data/heroes/h14.tres:12"
"血魔的獠牙",,"src/battle/item_catalog.gd:195"
"行军药囊",,"src/battle/item_catalog.gd:355"
"袋装石灰粉",,"src/battle/item_catalog.gd:100"
"被动",,"src/ui/hero_gallery_screen.gd:552, src/ui/hero_gallery_screen.tscn:282"
"被动技能",,"src/ui/components/skill_card.tscn:174"
"被垫掉",,"src/ui/battle_screen.gd:488"
"被挡",,"src/ui/components/battle_fx.gd:344"
"解毒药水",,"src/battle/item_catalog.gd:258"
"触邪【羊】",,"assets/data/heroes/h20.tres:9"
"触邪【羊】攻击命中敌方英雄时，直到下回合结束，使其获得脆弱。",,"assets/data/heroes/h20.tres:13"
"警告：看见南天门和白玉京时请立即停止使用",,"src/battle/item_catalog.gd:645"
"设置",,"src/ui/components/pause_menu_overlay.gd:92, src/ui/components/settings_panel.gd:69"
"该位置放不下",,"src/ui/warehouse_screen.gd:208, src/ui/warehouse_screen.gd:215"
"读取存档",,"src/ui/boot_screen.tscn:909"
"读取存档功能待接入",,"src/ui/boot_screen.gd:48"
"谦谦君子，温润如玉",,"src/battle/item_catalog.gd:658"
"赊命券",,"src/battle/item_catalog.gd:531"
"赊命券：下回合无法行动",,"src/ui/battle_screen.gd:4716"
"赊命券：本回合无法行动",,"src/ui/battle_screen.gd:4714"
"赌徒的硬币",,"src/battle/item_catalog.gd:150"
"身份",,"src/ui/profile_screen.gd:216"
"转变为敌方当前出战英雄",,"src/ui/battle_screen.gd:5232"
"返回",,"src/ui/components/pause_menu_overlay.gd:125, src/ui/components/settings_panel.gd:110, src/ui/codex_screen.tscn:1035"
"还没完呢",,"src/battle/item_catalog.gd:643"
"还魂",,"src/ui/battle_screen.gd:2392, src/ui/battle_screen.gd:2580"
"还魂丹",,"src/battle/item_catalog.gd:314"
"还魂丹：可免疫1次致命伤害",,"src/ui/battle_screen.gd:4686"
"还魂丹：本局已使用",,"src/ui/battle_screen.gd:4688"
"这下更疼",,"src/ui/battle_screen.gd:487"
"这也是生命药水，相信我",,"src/battle/item_catalog.gd:673"
"这可封不了九只尾巴的大狐狸",,"src/battle/item_catalog.gd:678"
"这就是为什么鬼金【羊】不喜欢火焰魔法",,"src/battle/item_catalog.gd:672"
"远征",,"src/ui/main_menu.gd:102"
"连心结",,"src/battle/item_catalog.gd:112"
"连心锁",,"src/battle/item_catalog.gd:322"
"连环鼓",,"src/battle/item_catalog.gd:523"
"迷雾斗篷",,"src/battle/item_catalog.gd:403"
"迷雾斗篷：道具栏对敌方隐藏",,"src/ui/battle_screen.gd:4707"
"追击",,"src/ui/battle_screen.gd:6994"
"退出游戏",,"src/ui/components/pause_menu_overlay.gd:92, src/ui/boot_screen.tscn:950"
"选",,"src/ui/battle_screen.gd:5606"
"选择",,"src/ui/battle_screen.gd:435"
"选择出战英雄",,"src/ui/components/death_switch_overlay.gd:57"
"选择另一件可使用的普通道具，将其立即升级为传说道具。",,"src/battle/item_catalog.gd:492"
"选择另一件可使用的道具，将其随机放回背包，立即获得1点能量。",,"src/battle/item_catalog.gd:553"
"选择另一件可使用的道具；本回合它若被反制，则不消耗并随机放回背包。",,"src/battle/item_catalog.gd:569"
"选择另一件道具，将其随机放回背包，随后免费抽取一次道具。",,"src/battle/item_catalog.gd:577"
"选择并烧掉另一件可使用的道具，立即获得2点能量。",,"src/battle/item_catalog.gd:480"
"选择我方一名存活英雄，将我方全队的护甲转移给该英雄。",,"src/battle/item_catalog.gd:327"
"选择我方一名已死亡英雄，使其以1点生命复活并成为未出战英雄。",,"src/battle/item_catalog.gd:520"
"选择我方一名未出战英雄，交换其与出战英雄的当前生命和护甲。",,"src/battle/item_catalog.gd:536"
"选择我方一名未出战英雄，使其回复2点生命。",,"src/battle/item_catalog.gd:356"
"选择我方一名未出战英雄，使其获得2点护甲。",,"src/battle/item_catalog.gd:331"
"选择我方一名未出战英雄，本回合结束时令其登场。",,"src/battle/item_catalog.gd:231"
"选择我方一名未出战英雄；本回合我方下一次攻击命中时，也结算该英雄的「印记」。",,"src/battle/item_catalog.gd:302"
"选择我方一名未出战英雄；本回合敌方下一次攻击改以其为目标。",,"src/battle/item_catalog.gd:335"
"选择我方一名队友，与出战英雄交换位置。",,"src/battle/item_catalog.gd:72"
"选择我方一名队友，与出战英雄交换护甲。",,"src/battle/item_catalog.gd:112"
"选择我方一名队友，使其回复2点生命。",,"src/battle/item_catalog.gd:92"
"选择我方一名阵亡队友，使其以1点生命回到后备。",,"src/battle/item_catalog.gd:133"
"选择敌方一件可使用的道具；本回合结束时若仍未使用，将其锁定1回合。",,"src/battle/item_catalog.gd:594"
"选择敌方一件锁定中的道具，使其延迟1回合可用。",,"src/battle/item_catalog.gd:400"
"选择本场已经使用的一件普通道具，将1件同名临时道具随机放入背包。",,"src/battle/item_catalog.gd:565"
"选择道具",,"src/ui/battle_screen.gd:5694"
"造成1点伤害",,"src/ui/battle_screen.gd:5213"
"造成2点伤害",,"src/ui/battle_screen.gd:5215"
"道具",,"src/ui/battle_screen.gd:2011, src/ui/components/backpack_grid_view.gd:174, src/ui/codex_screen.tscn:266"
"道具图鉴",,"src/ui/item_gallery_screen.tscn:477"
"道具栏被迷雾遮蔽",,"src/ui/battle_screen.gd:5264"
"道具说明排版",,"src/ui/battle_screen.gd:4322"
"遗愿灯",,"src/battle/item_catalog.gd:617"
"那么，古XX，代价是什么呢...",,"src/battle/item_catalog.gd:679"
"酸液陶罐",,"src/battle/item_catalog.gd:124"
"银质护臂",,"src/battle/item_catalog.gd:60"
"银质穿甲箭",,"src/battle/item_catalog.gd:154"
"银质箭头，不错的选择",,"src/battle/item_catalog.gd:636"
"银鳞甲",,"src/battle/item_catalog.gd:80"
"锁定敌方出战英雄；本回合内，我方下一次攻击仍以该英雄为目标，即使其切换下场。",,"src/battle/item_catalog.gd:298"
"锁泉塞",,"src/battle/item_catalog.gd:395"
"锁泉塞：下回合无法获得能量",,"src/ui/battle_screen.gd:4700"
"锁泉塞：本回合无法获得能量",,"src/ui/battle_screen.gd:4698"
"锋利的飞镖",,"src/battle/item_catalog.gd:76, src/battle/item_catalog.gd:269"
"镇纹针",,"src/battle/item_catalog.gd:383"
"闪亮登场~",,"src/battle/item_catalog.gd:670"
"闪亮的魔晶",,"src/battle/item_catalog.gd:487"
"问题反馈",,"src/ui/components/boot_menu_controller.gd:90"
"问题反馈链接待配置",,"src/ui/boot_screen.tscn:1104"
"队友攻击命中时，立刻登场并追击同一目标1点伤害。",,"assets/data/heroes/h16.tres:12"
"防",,"src/ui/battle_screen.gd:8109"
"附加效果",,"src/ui/effect_text_formatter.gd:19, src/ui/effect_gallery_screen.tscn:161"
"降低1点能量上限，使本回合所有行动少消耗1点能量（最低到3点）",,"src/ui/battle_screen.gd:5256"
"随机揭示敌方背包中至多3件道具，直到本场战斗结束。",,"src/battle/item_catalog.gd:557"
"随身熔炉",,"src/battle/item_catalog.gd:479"
"青元宝莲",,"src/battle/item_catalog.gd:459"
"青元宝莲：剩余%d回合获得能量",,"src/ui/battle_screen.gd:4753"
"音乐",,"src/ui/components/settings_panel.gd:254"
"音效",,"src/ui/components/settings_panel.gd:257"
"飞洒天星",,"assets/data/heroes/h10.tres:12"
"食铁虫",,"src/battle/item_catalog.gd:120"
"鬼金【羊】",,"assets/data/heroes/h08.tres:9"
"鬼金【羊】做第一个咒符时手抖了，才有了第二个",,"src/battle/item_catalog.gd:638"
"鬼金【羊】的「大防」未挡到攻击时，由我方保留至下一回合结束。",,"assets/data/heroes/h08.tres:12"
"魇镇八极",,"assets/data/heroes/h15.tres:11"
"鹤顶红",,"src/battle/item_catalog.gd:499"
"鹤顶红：下次毒爆每层+1伤害（剩余%d次）",,"src/ui/battle_screen.gd:4742"
"龙御极",,"assets/data/heroes/h05.tres:12"
"龙息",,"src/battle/item_catalog.gd:417"
"（《【「『〈［〔〖〘〚‘“([{",,"src/ui/effect_text_formatter.gd:35"
